id,label
16957641,A bill to amend the Federal Deposit Insurance Act with respect to the protection of certain information.
16957637,To repeal the Patient-Centered Outcomes Research program and comparative effectiveness research funding.
16957603,Paying a Fair Share Act of 2012
16957577,Supplemental Security Income Equality Act
16957661,1099K Overreach Prevention Act
16957609,"A bill to close loopholes, increase transparency, and improve the effectiveness of sanctions on Iranian trade in petroleum products."
16957657,E Prize Act of 2012
16957567,"A resolution honoring the life of Kevin Hagan White, the Mayor of Boston, Massachusetts from 1968 to 1984."
16957651,STOP Act
16957273,"A bill to amend the Grand Ronde Reservation Act to make technical corrections, and for other purposes."
16957269,A bill to provide for the addition of certain real property to the reservation of the Siletz Tribe in the State of Oregon.
16957493,"A bill to revise the boundaries of John H. Chafee Coastal Barrier Resources System Sachuest Point Unit RI-04P, Easton Beach Unit RI-05P, Almy Pond Unit RI-06, and Hazards Beach Unit RI-07 in the State of Rhode Island."
16957479,"A bill to prohibit the transfer of technology developed using funding provided by the United States Government to entities of certain countries, and for other purposes."
16957237,H.Amdt.916
16957227,H.Amdt.919
16957221,H.Amdt.920
16957205,H.Amdt.914
16957197,H.Amdt.915
16957189,H.Amdt.917
16957427,SET Device Act
16957183,H.Amdt.918
16957177,H.Amdt.921
16957509,SPRINT Act
16957501,WIN for Children and Families Act
16957495,To extend the pay limitation for Members of Congress and Federal employees.
16957521,S.Amdt.1512
16957257,S.Amdt.1511 to S.Amdt.1470
16957245,S.Amdt.1505 to S.Amdt.1470
16957243,S.Amdt.1510 to S.Amdt.1470
16957473,"Providing for consideration of the bill (H.R. 3578) to amend the Balanced Budget and Emergency Deficit Control Act of 1985 to reform the budget baseline, and providing for consideration of the bill (H.R. 3582) to amend the Congressional Budget Act of 1974 to provide for..."
16957171,S.Amdt.1493 to S.Amdt.1470
16957275,Minnesota Chippewa Tribe Judgment Fund Distribution Act of 2011
16957487,Freedom from Over-Criminalization and Unjust Seizures Act of 2012
16957429,Down Payment to Protect National Security Act of 2012
16957441,Travel Transparency Act
16957435,Recreational Fishing and Hunting Heritage and Opportunities Act
16957503,Solar Villages Initiative Act
16957281,"A resolution designating January 2012 as ""National Mentoring Month""."
16957283,SPRINT Act
16957527,Honest Budget Act of 2012
16957287,Access to Independent Health Insurance Advisors Act of 2012
16957515,FRAME Act of 2012
16957015,Federal Consent Decree Fairness Act
16956947,To require the President to impose sanctions on foreign financial institutions that conduct transactions with the Central Bank of Iran if the President determines that the Central Bank of Iran has engaged in certain transactions relating to the proliferation of chemical...
16957157,Sunlight Act of 2012
16957151,Protect VA Healthcare Act of 2012
16957147,To provide for rollover treatment to traditional IRAs of amounts received in airline carrier bankruptcy.
16957003,Trafficking Victims Protection Reauthorization Act of 2011
16957019,"Providing for consideration of the conference report to accompany the bill (H.R. 658) to amend title 49, United States Code, to authorize appropriations for the Federal Aviation Administration for fiscal years 2011 through 2014, to streamline programs, create efficienci..."
16956999,"Supporting the goals and ideals of International Day for the Abolition of Slavery, recognizing the tenth anniversary of the adoption by the United Nations of the Protocol to Prevent, Suppress and Punish Trafficking in Persons, Especially Women and Children, Supplementin..."
16956987,"Calling for immediate full consular services to be provided by the United States Consulate in Erbil, the capital of the Kurdistan Region of Iraq."
16956985,Expressing the sense of the House of Representatives regarding Tunisia's peaceful Jasmine Revolution.
16957161,"Expressing support for designation of February 4, 2012, as National Cancer Prevention Day."
16956995,"Expressing the sense of sympathy of the House of Representatives to those who perished or were displaced in the Philippines as a result of the December 16, 2011 flooding."
16957005,Child Marriage Violates the Human Rights of Girls Act of 2011
16956983,White House Conference on Haiti Act of 2011
16956981,"Recognizing the anniversary of the tragic earthquake in Haiti on January 12, 2010, honoring those who lost their lives, and expressing continued solidarity with the Haitian people."
16956969,Encouraging any new government convened in Egypt to fully allow for the freedom of religion.
16956951,Expressing the sense of the House of Representatives that the United States should work with the Government of Haiti to address gender-based violence against women and children.
16956957,International Travelers Bill of Rights Act of 2011
16956581,H.Amdt.924
16956893,A bill to prohibit the permanent relocation of F-16 aircraft assigned to Eielson Air Force Base.
16956887,Creating American Prosperity through Preservation Act of 2012
16956869,H.Amdt.923
16956867,H.Amdt.925
16956863,H.Amdt.926
16956943,Veterans Gardens Employment and Opportunity Act
16956929,Reinforcing Existing Permit Sanctions On Leases Act
16956917,Pro-Growth Budgeting Act of 2012
16956913,Baseline Reform Act of 2012
16956879,"Providing for consideration of the bill (H.R. 1734) to decrease the deficit by realigning, consolidating, selling, disposing, and improving the efficiency of Federal buildings and other civilian real property, and for other purposes."
16956897,Helping Homeowners Refinance Act
16956923,Energy Freedom and Economic Prosperity Act
16956935,FUTURE STEM Act
16956891,"A resolution recognizing the anniversary of the tragic earthquake in Haiti on January 12, 2010, honoring those who lost their lives in that earthquake, and expressing continued solidarity with the people of Haiti."
16956903,Data Breach Notification Act of 2011
16956905,NGEAR Act
16956699,Expressing the sense of the Congress regarding National Pearl Harbor Remembrance Day.
16956721,Keeping Our Promises Act of 2011
16956877,Paying a Fair Share Act of 2012
16956861,Hotels for Heroes Act
16956571,H.Amdt.927
16956567,H.Amdt.928
16956599,Home Building Lending Improvement Act of 2012
16956653,Federal Restricted Buildings and Grounds Improvement Act of 2011
16956615,Lake Tahoe Restoration Act of 2011
16956679,American Indian Empowerment Act of 2011
16956713,Support and Defend Our Military Personnel and Their Families Act
16956691,Protecting Post Offices Act
16956619,"To provide a comprehensive assessment of the scientific and technical research on the implications of the use of mid-level ethanol blends, and for other purposes."
16956611,Homeless Children and Youth Act of 2011
16956645,Expressing the sense of the House of Representatives regarding the declassification of information related to missing and unaccounted-for members of the Armed Forces.
16956633,"Expressing the firm belief that disposing of any part of the remains of a deceased member of the Armed Forces as medical waste is repugnant, disrespectful and should not to be tolerated."
16956623,"Providing for consideration of the bill (H.R. 3581) to amend the Balanced Budget and Emergency Deficit Control Act of 1985 to increase transparency in Federal budgeting, and for other purposes."
16956577,A resolution congratulating the New York Giants for winning Super Bowl XLVI.
16956695,Honoring Americans who served as volunteers for the United States Office of Civilian Defense during World War II.
16956873,A bill to approve the Keystone XL pipeline project and provide for environmental protection and government oversight.
16956723,"To amend title 10, United States Code, to include the Chief of the National Guard Bureau as a member of the Joint Chiefs of Staff and to reestablish the position of Vice Chief of the National Guard Bureau."
16956707,"Honoring Brigadier General Hazel Winifred Johnson-Brown, the first African-American woman to hold the rank of General in the United States Armed Forces."
16956857,STOP Act
16956607,Elder Protection and Abuse Prevention Act
16956685,CUT Loopholes Act
16956669,10 Million Solar Roofs Act of 2011
16956665,Department of Energy Administrative Improvement Act of 2011
16956591,Geothermal Production Expansion Act of 2011
16956715,To authorize and request the President to award the congressional Medal of Honor to Arthur Jibilian for actions behind enemy lines during World War II while a member of the United States Navy and the Office of Strategic Services.
16956661,Geothermal Exploration and Technology Act of 2011
16956563,Budget or Bust Act
16956399,Protecting Main Street End-Users From Excessive Regulation
16956389,H.Amdt.930
16956383,H.Amdt.931
16956559,Amending the Rules of the House of Representatives to provide that the House may not consider major legislation unless it addresses one issue at a time.
16956537,"Providing for consideration of the bill (H.R. 3521) to amend the Congressional Budget and Impoundment Control Act of 1974 to provide for a legislative line-item veto to expedite consideration of rescissions, and for other purposes."
16956533,Bureau of Consumer Financial Protection Accountability and Transparency Act of 2011
16956527,To amend the Federal Deposit Insurance Act to replace the Director of the Bureau of Consumer Financial Protection with the Chairman of the Board of Governors of the Federal Reserve System as a member of the Board of Directors of the Federal Deposit Insurance Corporation...
16956401,Swap Execution Facility Clarification Act
16956553,Congratulating the National Football League champion New York Giants for winning Super Bowl XLVI.
16956547,To resolve title issues involving real property and equipment acquired using funds provided under the Alaska Kiln Drying Grant Program.
16956543,Egg Products Inspection Act Amendments of 2012
16955989,Irene and Lee Emergency Assistance Act of 2012
16956061,Regulation of Mortgage Servicing Act of 2012
16956057,To amend the Securities Exchange Act of 1934 to require annual disclosures relating to the compensation brackets in which an issuer's minority and women employees reside.
16956055,Revolutionary War and War of 1812 Battlefields Commemorative Coin Act of 2012
16956289,"To amend the Internal Revenue Code of 1986 to allow partnerships invested in infrastructure property to be treated as publicly traded partnerships, to reduce the depreciation recovery periods for such property, and for other purposes."
16956283,To amend the Internal Revenue Code of 1986 to extend the deduction for expensing of environmental remediation costs.
16956037,"To amend the Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010 to provide for the imposition of sanctions with respect to the National Iranian Oil Company and the National Iranian Tanker Company."
16956273,To amend the Internal Revenue Code of 1986 to extend the deduction for certain expenses of elementary and secondary school teachers.
